2026-04-13 17:23:02 | productcatalogservice | CPU: 95 % | RAM: 47 MB | RPS: 196.634 | ERROR: 0 | PODS: 1
2026-04-13 17:23:07 | frontend | CPU: 154 % | RAM: 48 MB | RPS: 78.149 | ERROR: 0 | PODS: 4
2026-04-13 17:23:07 | productcatalogservice | CPU: 95 % | RAM: 47 MB | RPS: 203.225 | ERROR: 0 | PODS: 1
2026-04-13 17:23:12 | frontend | CPU: 154 % | RAM: 48 MB | RPS: 78.208 | ERROR: 0 | PODS: 4
2026-04-13 17:23:12 | productcatalogservice | CPU: 110 % | RAM: 47 MB | RPS: 200.800 | ERROR: 0 | PODS: 1
2026-04-13 17:23:18 | frontend | CPU: 172 % | RAM: 49 MB | RPS: 77.477 | ERROR: 0 | PODS: 4
2026-04-13 17:23:18 | productcatalogservice | CPU: 110 % | RAM: 47 MB | RPS: 202.189 | ERROR: 0 | PODS: 1
2026-04-13 17:23:23 | frontend | CPU: 172 % | RAM: 49 MB | RPS: 77.460 | ERROR: 0 | PODS: 4
2026-04-13 17:23:23 | productcatalogservice | CPU: 110 % | RAM: 47 MB | RPS: 194.504 | ERROR: 0 | PODS: 1
2026-04-13 17:23:28 | frontend | CPU: 6 % | RAM: 41 MB | RPS: 76.189 | ERROR: 0 | PODS: 5
2026-04-13 17:23:28 | productcatalogservice | CPU: 98 % | RAM: 47 MB | RPS: 192.500 | ERROR: 0 | PODS: 1
2026-04-13 17:23:34 | frontend | CPU: 6 % | RAM: 41 MB | RPS: 76.889 | ERROR: 0 | PODS: 5
2026-04-13 17:23:34 | productcatalogservice | CPU: 98 % | RAM: 47 MB | RPS: 197.538 | ERROR: 0 | PODS: 1
2026-04-13 17:23:39 | frontend | CPU: 6 % | RAM: 41 MB | RPS: 77.598 | ERROR: 0 | PODS: 5
2026-04-13 17:23:39 | productcatalogservice | CPU: 98 % | RAM: 47 MB | RPS: 194.643 | ERROR: 0 | PODS: 1
2026-04-13 17:23:45 | frontend | CPU: 61 % | RAM: 43 MB | RPS: 77.290 | ERROR: 0 | PODS: 5
2026-04-13 17:23:45 | productcatalogservice | CPU: 135 % | RAM: 47 MB | RPS: 200.087 | ERROR: 0 | PODS: 1
2026-04-13 17:23:50 | frontend | CPU: 61 % | RAM: 43 MB | RPS: 76.880 | ERROR: 0 | PODS: 5
2026-04-13 17:23:50 | productcatalogservice | CPU: 135 % | RAM: 47 MB | RPS: 205.113 | ERROR: 0 | PODS: 1
2026-04-13 17:23:56 | frontend | CPU: 127 % | RAM: 47 MB | RPS: 77.537 | ERROR: 0 | PODS: 5
2026-04-13 17:23:56 | productcatalogservice | CPU: 102 % | RAM: 48 MB | RPS: 212.014 | ERROR: 0 | PODS: 2
2026-04-13 17:24:01 | frontend | CPU: 127 % | RAM: 47 MB | RPS: 82.543 | ERROR: 0 | PODS: 5
2026-04-13 17:24:01 | productcatalogservice | CPU: 102 % | RAM: 48 MB | RPS: 208.165 | ERROR: 0 | PODS: 2
2026-04-13 17:24:06 | frontend | CPU: 127 % | RAM: 47 MB | RPS: 97.356 | ERROR: 0 | PODS: 5
2026-04-13 17:24:06 | productcatalogservice | CPU: 102 % | RAM: 48 MB | RPS: 276.689 | ERROR: 0 | PODS: 2
2026-04-13 17:24:12 | frontend | CPU: 162 % | RAM: 48 MB | RPS: 123.610 | ERROR: 0 | PODS: 5
2026-04-13 17:24:12 | productcatalogservice | CPU: 105 % | RAM: 49 MB | RPS: 334.925 | ERROR: 0 | PODS: 2
2026-04-13 17:24:17 | frontend | CPU: 162 % | RAM: 48 MB | RPS: 142.008 | ERROR: 0 | PODS: 5
2026-04-13 17:24:17 | productcatalogservice | CPU: 105 % | RAM: 49 MB | RPS: 377.865 | ERROR: 0 | PODS: 2
2026-04-13 17:24:23 | frontend | CPU: 210 % | RAM: 49 MB | RPS: 151.444 | ERROR: 0 | PODS: 5
2026-04-13 17:24:23 | productcatalogservice | CPU: 130 % | RAM: 49 MB | RPS: 422.116 | ERROR: 0 | PODS: 2
2026-04-13 17:24:28 | frontend | CPU: 210 % | RAM: 49 MB | RPS: 174.300 | ERROR: 0 | PODS: 5
2026-04-13 17:24:28 | productcatalogservice | CPU: 130 % | RAM: 49 MB | RPS: 468.341 | ERROR: 0 | PODS: 2
2026-04-13 17:24:34 | frontend | CPU: 210 % | RAM: 49 MB | RPS: 176.414 | ERROR: 0 | PODS: 5
2026-04-13 17:24:34 | productcatalogservice | CPU: 130 % | RAM: 49 MB | RPS: 465.672 | ERROR: 0 | PODS: 2
2026-04-13 17:24:39 | frontend | CPU: 235 % | RAM: 49 MB | RPS: 178.314 | ERROR: 0 | PODS: 5
2026-04-13 17:24:39 | productcatalogservice | CPU: 170 % | RAM: 49 MB | RPS: 463.564 | ERROR: 0 | PODS: 2
2026-04-13 17:24:45 | frontend | CPU: 235 % | RAM: 49 MB | RPS: 179.080 | ERROR: 0 | PODS: 5
2026-04-13 17:24:45 | productcatalogservice | CPU: 170 % | RAM: 49 MB | RPS: 468.104 | ERROR: 0 | PODS: 2
2026-04-13 17:24:50 | frontend | CPU: 225 % | RAM: 50 MB | RPS: 175.363 | ERROR: 0 | PODS: 5
2026-04-13 17:24:50 | productcatalogservice | CPU: 140 % | RAM: 49 MB | RPS: 474.667 | ERROR: 0 | PODS: 4
2026-04-13 17:24:56 | frontend | CPU: 225 % | RAM: 50 MB | RPS: 175.121 | ERROR: 0 | PODS: 5
2026-04-13 17:24:56 | productcatalogservice | CPU: 140 % | RAM: 49 MB | RPS: 442.512 | ERROR: 0 | PODS: 4
