Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/,28297,16967,2700.0,2362.2470947838924,1.625899996724911,4676.48509999708,4214.085026681274,15.734935744665808,9.434733532874326,2700,2800,2800,2800,4100,4100,4600,4600,4600,4700,4700
POST,/cart,5559,5559,200.0,942.8640715776319,1.9177999929524958,4122.311699997226,3119.6787191941,3.0911583491040475,3.0911583491040475,200,540,1000,1500,4100,4100,4100,4100,4100,4100,4100
GET,/product/OLJCESPC7Z,14175,5942,2000.0,2098.318141319188,1.6669999968144111,4679.211000002397,4607.2095238095235,7.882203561530829,3.3041307627947925,2000,2700,2800,4100,4100,4600,4600,4600,4700,4700,4700
,Aggregated,48031,28468,2500.0,2120.0796791280427,1.625899996724911,4679.211000002397,4203.440548812226,26.708297655300687,15.830022644773166,2500,2700,2800,2800,4100,4100,4600,4600,4700,4700,4700
