Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/,52261,0,740.0,612.868099050907,23.922000000311527,2310.1994000026025,10498.997321138133,29.049941854810623,0.0,740,920,990,1000,1100,1200,1300,1400,1700,1900,2300
POST,/cart,10471,10471,36,46.204189093686274,2.9598999972222373,470.8219999956782,3953.9980899627544,5.82043859018622,5.82043859018622,36,58,69,75,94,140,180,210,350,430,470
GET,/product/OLJCESPC7Z,25990,0,330.0,332.6130436475748,21.831000005477108,1521.2973000016063,7976.279184301655,14.446872214586941,0.0,330,450,520,550,640,720,820,880,1100,1400,1500
,Aggregated,88722,10471,340.0,463.89302307093345,2.9598999972222373,2310.1994000026025,8987.555611911364,49.31725265958379,5.82043859018622,340,650,850,920,1100,1200,1300,1300,1600,1900,2300
