Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/,51640,0,730.0,632.2619136909327,23.985500003618654,2356.9204000013997,10498.726762199845,28.693459936714437,0.0,730,930,1000,1100,1200,1300,1400,1500,1900,2200,2400
POST,/cart,10278,10278,39,48.083953035601205,3.1667000002926216,647.3344999976689,3953.994162288383,5.710909783686115,5.710909783686115,39,59,70,77,94,140,180,220,370,630,650
GET,/product/OLJCESPC7Z,25710,0,380.0,375.21972157524897,21.357899997383356,1869.5428999999422,7974.378257487359,14.28560912031232,0.0,380,510,570,620,720,820,940,1000,1300,1500,1900
,Aggregated,87628,10278,370.0,488.32691758340684,3.1667000002926216,2356.9204000013997,8990.444458392294,48.689978840712875,5.710909783686115,370,690,870,940,1100,1200,1400,1500,1800,2200,2400
