2026-04-14 19:18:30 | productcatalogservice | CPU: 299 % | RAM: 53 MB | RPS: 1120.599 | ERROR: 0 | PODS: 4
2026-04-14 19:18:36 | frontend | CPU: 231 % | RAM: 48 MB | RPS: 212.478 | ERROR: 0.0006 | PODS: 5
2026-04-14 19:18:36 | productcatalogservice | CPU: 299 % | RAM: 53 MB | RPS: 1120.638 | ERROR: 0 | PODS: 4
2026-04-14 19:18:41 | frontend | CPU: 231 % | RAM: 48 MB | RPS: 202.483 | ERROR: 0.0005 | PODS: 5
2026-04-14 19:18:41 | productcatalogservice | CPU: 299 % | RAM: 53 MB | RPS: 1136.759 | ERROR: 0 | PODS: 5
2026-04-14 19:18:47 | frontend | CPU: 227 % | RAM: 50 MB | RPS: 211.860 | ERROR: 0.0005 | PODS: 5
2026-04-14 19:18:47 | productcatalogservice | CPU: 204 % | RAM: 42 MB | RPS: 1138.643 | ERROR: 0 | PODS: 5
2026-04-14 19:18:52 | frontend | CPU: 227 % | RAM: 50 MB | RPS: 213.068 | ERROR: 0.0005 | PODS: 5
2026-04-14 19:18:52 | productcatalogservice | CPU: 204 % | RAM: 42 MB | RPS: 1151.161 | ERROR: 0 | PODS: 5
2026-04-14 19:18:58 | frontend | CPU: 267 % | RAM: 51 MB | RPS: 215.214 | ERROR: 0.0003 | PODS: 5
2026-04-14 19:18:58 | productcatalogservice | CPU: 151 % | RAM: 43 MB | RPS: 1174.730 | ERROR: 0 | PODS: 5
2026-04-14 19:19:03 | frontend | CPU: 267 % | RAM: 51 MB | RPS: 206.522 | ERROR: 0.0003 | PODS: 5
2026-04-14 19:19:03 | productcatalogservice | CPU: 151 % | RAM: 43 MB | RPS: 1133.482 | ERROR: 0 | PODS: 5
2026-04-14 19:19:09 | frontend | CPU: 267 % | RAM: 51 MB | RPS: 198.204 | ERROR: 0.0002 | PODS: 5
2026-04-14 19:19:09 | productcatalogservice | CPU: 151 % | RAM: 43 MB | RPS: 1103.275 | ERROR: 0 | PODS: 5
2026-04-14 19:19:14 | frontend | CPU: 220 % | RAM: 53 MB | RPS: 194.861 | ERROR: 0.0002 | PODS: 5
2026-04-14 19:19:14 | productcatalogservice | CPU: 155 % | RAM: 45 MB | RPS: 1112.877 | ERROR: 0 | PODS: 5
2026-04-14 19:19:20 | frontend | CPU: 220 % | RAM: 53 MB | RPS: 191.735 | ERROR: 0 | PODS: 5
2026-04-14 19:19:20 | productcatalogservice | CPU: 155 % | RAM: 45 MB | RPS: 1098.506 | ERROR: 0 | PODS: 5
2026-04-14 19:19:25 | frontend | CPU: 255 % | RAM: 55 MB | RPS: 196.097 | ERROR: 0 | PODS: 5
2026-04-14 19:19:25 | productcatalogservice | CPU: 157 % | RAM: 47 MB | RPS: 1092.683 | ERROR: 0 | PODS: 5
