Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/,13451,400,300.0,474.76590801430837,17.31110000400804,4670.871800000896,10187.468441008103,11.204259853500195,0.33318741665304275,300,460,590,680,1000,1300,2800,2800,4600,4700,4700
GET,/product/0PUK6V6EV0,7181,120,1300.0,1119.2272334772445,16.858199996931944,4659.062999999151,7618.6682913243285,5.98154709746375,0.09995622499591282,1300,1500,1600,1600,1800,1900,2300,2800,4600,4700,4700
GET,/product/1YMWWN1N4O,7153,92,1400.0,1118.381971941825,16.60480000282405,4658.965100003115,7676.521319725989,5.9582239782980375,0.07663310583019983,1400,1500,1600,1600,1800,1900,2200,2800,4600,4700,4700
GET,/product/2ZYFJ3GM2N,7451,97,1300.0,1109.0137393638638,16.776599994045682,4660.4369999986375,7665.350959602738,6.206448603704554,0.08079794853836286,1300,1500,1600,1600,1800,1900,2200,2800,4600,4700,4700
GET,/product/66VCHSJNUP,7432,91,1300.0,1111.505292989808,16.715499994461425,4664.2733000044245,7650.099300322928,6.190622201413534,0.07580013728856723,1300,1500,1600,1600,1800,1900,2100,2800,4700,4700,4700
GET,/product/6E92ZMYYFZ,7425,81,1300.0,1116.1978091043316,16.46940000500763,4663.132400004542,7646.075286195286,6.184791421622106,0.06747045187224116,1300,1500,1600,1600,1800,1900,2200,2800,4600,4700,4700
GET,/product/9SIQT8TOJO,7230,89,1300.0,1102.6070661687525,16.77610000479035,4661.8863999974565,7670.996403872752,6.022362556003748,0.07413420020530201,1300,1500,1600,1600,1800,1900,2100,2800,4600,4700,4700
GET,/product/L9ECAV7KIM,7382,101,1300.0,1105.776714833348,16.60989999800222,4660.357299995667,7635.493497697101,6.148973774331904,0.08412982270489329,1300,1500,1600,1700,1800,1900,2100,2800,4600,4700,4700
GET,/product/LS4PSXUNUM,7336,125,1400.0,1124.8333367229918,16.644899995299056,4660.584200006269,7618.238140676118,6.110657221416804,0.10412106770407586,1400,1500,1600,1600,1800,1900,2500,2800,4700,4700,4700
GET,/product/OLJCESPC7Z,7447,105,1300.0,1111.9096185040994,16.79889999650186,4662.353400002758,7675.34765677454,6.203116729538023,0.08746169687142373,1300,1500,1600,1600,1800,1900,2200,2800,4700,4700,4700
,Aggregated,79488,1301,1200.0,1005.2037007372267,16.46940000500763,4670.871800000896,8080.035414150563,66.21100343729266,1.0836920726640216,1200,1500,1600,1600,1700,1900,2500,2800,4600,4700,4700
