Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/,11749,614,790.0,1028.894511660558,9.555399999953806,4679.312200001732,9952.329219508043,9.784361801306014,0.5113284659121536,790,1100,1500,1900,2400,2700,2800,2800,4700,4700,4700
GET,/product/0PUK6V6EV0,6337,181,1200.0,1200.6803059807785,14.133100004983135,4663.435599999502,7687.667666088054,5.277342815122667,0.15073363571677492,1200,1400,1600,1600,1900,2200,2800,2800,4700,4700,4700
GET,/product/1YMWWN1N4O,6382,203,1200.0,1207.8063214979627,10.228599996480625,4663.547299998754,7679.940457536823,5.314818028422417,0.16905485110776414,1200,1400,1600,1700,1900,2300,2800,2800,4700,4700,4700
GET,/product/2ZYFJ3GM2N,6446,183,1200.0,1211.6613252714908,16.459200000099372,4663.483299998916,7707.520012410798,5.368116109559841,0.15239920075231939,1200,1400,1600,1700,1900,2200,2800,2800,4700,4700,4700
GET,/product/66VCHSJNUP,6194,178,1200.0,1223.6106214401545,9.571800001140218,4670.955000001413,7673.746206005812,5.158254915081237,0.1482352881634582,1200,1400,1600,1700,2000,2200,2800,2800,4700,4700,4700
GET,/product/6E92ZMYYFZ,6420,176,1200.0,1186.4256229439982,10.852799998247065,4663.95310000371,7671.217445482866,5.346463764097763,0.14656972312791375,1200,1400,1500,1600,1900,2200,2700,2800,4700,4700,4700
GET,/product/9SIQT8TOJO,6348,178,1200.0,1194.8597314902395,17.164800003229175,4664.350899998681,7716.39666036547,5.2865034228181615,0.1482352881634582,1200,1400,1500,1600,1900,2200,2700,2800,4700,4700,4700
GET,/product/L9ECAV7KIM,6487,187,1200.0,1207.2553301526384,16.30270000168821,4662.833100002899,7675.215353784492,5.402260192788503,0.15573033082340834,1200,1400,1600,1700,1900,2200,2800,2800,4700,4700,4700
GET,/product/LS4PSXUNUM,6484,211,1200.0,1207.9807170727936,9.320699995441828,4666.168700001435,7647.622763726095,5.399761845235186,0.17571711124994205,1200,1400,1600,1700,1900,2200,2800,2800,4700,4700,4700
GET,/product/OLJCESPC7Z,6378,196,1200.0,1204.2361390091119,16.419599996879697,4667.5138999999035,7695.748824082784,5.311486898351329,0.16322537348335847,1200,1400,1600,1700,2000,2300,2800,2800,4700,4700,4700
,Aggregated,69225,2307,1200.0,1175.027493214904,9.320699995441828,4679.312200001732,8068.856626941134,57.64936979278312,1.9212292685005512,1200,1400,1600,1700,2000,2300,2800,2800,4700,4700,4700
